Time,Position
0.0,-1.0
0.001,-0.999950017236
0.002,-0.99980014011
0.003,-0.999550483688
0.004,-0.999201172934
0.005,-0.998752341743
0.006,-0.998204134174
0.007,-0.997556704407
0.008,-0.996810217086
0.009,-0.995964845825
0.01,-0.995020773615
0.011,-0.993978193523
0.012,-0.992837308152
0.013,-0.991598329814
0.014,-0.990261480423
0.015,-0.988826991338
0.016,-0.987295103599
0.017,-0.985666067513
0.018,-0.983940142904
0.019,-0.982117599184
0.02,-0.980198715207
0.021,-0.978183779235
0.022,-0.976073088851
0.023,-0.973866950554
0.024,-0.971565680192
0.025,-0.969169602832
0.026,-0.966679052655
0.027,-0.964094372918
0.028,-0.961415915971
0.029,-0.958644043377
0.03,-0.955779125556
0.031,-0.952821541859
0.032,-0.949771680531
0.033,-0.946629938675
0.034,-0.943396722121
0.035,-0.940072445379
0.036,-0.936657531726
0.037,-0.933152413093
0.038,-0.929557530023
0.039,-0.925873331617
0.04,-0.9221002753
0.041,-0.91823882693
0.042,-0.914289460812
0.043,-0.910252659582
0.044,-0.906128914159
0.045,-0.901918723644
0.046,-0.897622595199
0.047,-0.893241044029
0.048,-0.888774593464
0.049,-0.884223774813
0.05,-0.879589127311
0.051,-0.874871197948
0.052,-0.870070541248
0.053,-0.865187719683
0.054,-0.86022330341
0.055,-0.855177870199
0.056,-0.850052005368
0.057,-0.844846301723
0.058,-0.839561359496
0.059,-0.834197786278
0.06,-0.828756196957
0.061,-0.823237213639
0.062,-0.817641465066
0.063,-0.81196958706
0.064,-0.806222222634
0.065,-0.800400021687
0.066,-0.794503640922
0.067,-0.788533743777
0.068,-0.782491000334
0.069,-0.776376087245
0.07,-0.770189687646
0.071,-0.763932491074
0.072,-0.757605193584
0.073,-0.751208498278
0.074,-0.744743113953
0.075,-0.738209755482
0.076,-0.731609143804
0.077,-0.724942005841
0.078,-0.71820907442
0.079,-0.711411088187
0.08,-0.704548791522
0.081,-0.697622934456
0.082,-0.690634272587
0.083,-0.683583567368
0.084,-0.676471585772
0.085,-0.669299099885
0.086,-0.662066887065
0.087,-0.654775729855
0.088,-0.647426415904
0.089,-0.640019737875
0.09,-0.632556493362
0.091,-0.625037484804
0.092,-0.617463519396
0.093,-0.609835409034
0.094,-0.602153970418
0.095,-0.594420024638
0.096,-0.586634397182
0.097,-0.578797917873
0.098,-0.570911420783
0.099,-0.562975744145
0.1,-0.554991730264
0.101,-0.546960225422
0.102,-0.538882079796
0.103,-0.530758147359
0.104,-0.522589285893
0.105,-0.514376356882
0.106,-0.506120225251
0.107,-0.497821759378
0.108,-0.489481830998
0.109,-0.481101315112
0.11,-0.472681089898
0.111,-0.464222036612
0.112,-0.455725039502
0.113,-0.447190985708
0.114,-0.438620765191
0.115,-0.430015270823
0.116,-0.421375398022
0.117,-0.412702044702
0.118,-0.403996111221
0.119,-0.39525850029
0.12,-0.386490116875
0.121,-0.377691868106
0.122,-0.368864663183
0.123,-0.360009413275
0.124,-0.351127031434
0.125,-0.342218432582
0.126,-0.333284533474
0.127,-0.324326252344
0.128,-0.315344508938
0.129,-0.30634022442
0.13,-0.297314321284
0.131,-0.288267723253
0.132,-0.279201355184
0.133,-0.270116142976
0.134,-0.261013013469
0.135,-0.251892894353
0.136,-0.242756714245
0.137,-0.233605402467
0.138,-0.224439888816
0.139,-0.215261103573
0.14,-0.206069977414
0.141,-0.196867441308
0.142,-0.187654426428
0.143,-0.178431864054
0.144,-0.169200685476
0.145,-0.159961821902
0.146,-0.15071620437
0.147,-0.141464763859
0.148,-0.132208430933
0.149,-0.122948135648
0.15,-0.113684807524
0.151,-0.104419375451
0.152,-0.0951527675921
0.153,-0.085885911292
0.154,-0.076619732983
0.155,-0.0673551580908
0.156,-0.0580931109407
0.157,-0.0488345147042
0.158,-0.0395802914859
0.159,-0.0303313619022
0.16,-0.021088645089
0.161,-0.0118530586382
0.162,-0.00262551850651
0.163,0.00659306107641
0.164,0.015801767699
0.165,0.0249996908591
0.166,0.0341859220557
0.167,0.0433595548795
0.168,0.0525196850201
0.169,0.0616654102681
0.17,0.0707958309002
0.171,0.0799100496326
0.172,0.0890071717018
0.173,0.0980863049533
0.174,0.10714655993
0.175,0.116187049958
0.176,0.125206891239
0.177,0.134205202933
0.178,0.143181107248
0.179,0.152133729383
0.18,0.161062197681
0.181,0.169965643885
0.182,0.178843203111
0.183,0.187694013931
0.184,0.196517218457
0.185,0.205311962426
0.186,0.214077395281
0.187,0.222812670256
0.188,0.231516944461
0.189,0.240189378976
0.19,0.248829138648
0.191,0.257435392569
0.192,0.266007314033
0.193,0.274544080597
0.194,0.283044874157
0.195,0.291508881031
0.196,0.299935292034
0.197,0.308323302554
0.198,0.316672112635
0.199,0.324980927051
0.2,0.333248955353
0.201,0.341475411757
0.202,0.349659515544
0.203,0.357800491046
0.204,0.365897567685
0.205,0.373949980046
0.206,0.381956967947
0.207,0.389917776514
0.208,0.39783165625
0.209,0.405697863106
0.21,0.413515658552
0.211,0.421284309644
0.212,0.429003089098
0.213,0.436671275349
0.214,0.444288152458
0.215,0.451853010323
0.216,0.459365144842
0.217,0.466823857888
0.218,0.474228457365
0.219,0.481578257274
0.22,0.488872577773
0.221,0.496110745238
0.222,0.503292092321
0.223,0.51041595801
0.224,0.517481687687
0.225,0.524488633184
0.226,0.531436152836
0.227,0.538323611649
0.228,0.545150381483
0.229,0.551915840686
0.23,0.558619374342
0.231,0.565260374336
0.232,0.571838239408
0.233,0.578352375205
0.234,0.58480219433
0.235,0.591187116397
0.236,0.597506568079
0.237,0.603759983153
0.238,0.609946802556
0.239,0.616066474422
0.24,0.622118454155
0.241,0.62810220468
0.242,0.634017196176
0.243,0.639862906173
0.244,0.645638819643
0.245,0.65134442905
0.246,0.656979234388
0.247,0.662542743226
0.248,0.668034470749
0.249,0.673453939796
0.25,0.6788006809
0.251,0.684074232327
0.252,0.689274140117
0.253,0.694399958113
0.254,0.699451248083
0.255,0.70442757971
0.256,0.709328530538
0.257,0.714153686063
0.258,0.718902639773
0.259,0.723574993179
0.26,0.728170355845
0.261,0.732688345419
0.262,0.737128587663
0.263,0.741490716485
0.264,0.745774373963
0.265,0.749979210372
0.266,0.754104884216
0.267,0.758151062257
0.268,0.762117419575
0.269,0.766003639523
0.27,0.769809413774
0.271,0.773534442352
0.272,0.777178433648
0.273,0.780741104443
0.274,0.784222179928
0.275,0.787621393721
0.276,0.790938487887
0.277,0.794173212953
0.278,0.797325327924
0.279,0.800394600298
0.28,0.803380806085
0.281,0.806283729891
0.282,0.809103164835
0.283,0.811838912568
0.284,0.814490783298
0.285,0.81705859581
0.286,0.819542177469
0.287,0.82194136423
0.288,0.824256000647
0.289,0.826485939875
0.29,0.828631043684
0.291,0.830691182454
0.292,0.832666235187
0.293,0.834556089504
0.294,0.836360641671
0.295,0.83807979666
0.296,0.839713467976
0.297,0.841261577778
0.298,0.842724056853
0.299,0.844100844617
0.3,0.845391889107
0.301,0.846597146983
0.302,0.847716583517
0.303,0.848750172595
0.304,0.849697896704
0.305,0.850559746928
0.306,0.851335722939
0.307,0.852025832994
0.308,0.852630093953
0.309,0.853148531242
0.31,0.853581178844
0.311,0.853928079299
0.312,0.854189283662
0.313,0.854364851454
0.314,0.854454850714
0.315,0.854459357957
0.316,0.85437845815
0.317,0.854212244747
0.318,0.85396081965
0.319,0.85362429316
0.32,0.853202783979
0.321,0.852696419187
0.322,0.852105334202
0.323,0.851429672774
0.324,0.85066958697
0.325,0.84982523714
0.326,0.848896791897
0.327,0.847884428093
0.328,0.846788330791
0.329,0.845608693237
0.33,0.844345716831
0.331,0.842999611105
0.332,0.84157059369
0.333,0.840058890284
0.334,0.838464734625
0.335,0.836788368467
0.336,0.835030041508
0.337,0.833190011432
0.338,0.831268543806
0.339,0.829265912074
0.34,0.827182397522
0.341,0.825018289237
0.342,0.822773884074
0.343,0.820449486616
0.344,0.818045409136
0.345,0.815561971561
0.346,0.812999501429
0.347,0.810358333848
0.348,0.807638811462
0.349,0.804841284399
0.35,0.801966110234
0.351,0.79901365395
0.352,0.795984287883
0.353,0.792878391687
0.354,0.789696352288
0.355,0.786438563832
0.356,0.783105427643
0.357,0.779697352167
0.358,0.776214752887
0.359,0.772658052354
0.36,0.769027680118
0.361,0.765324072672
0.362,0.761547673407
0.363,0.75769893256
0.364,0.75377830717
0.365,0.74978626102
0.366,0.745723264592
0.367,0.741589794805
0.368,0.73738633516
0.369,0.733113375751
0.37,0.728771413125
0.371,0.724360950223
0.372,0.719882496324
0.373,0.71533656698
0.374,0.710723683958
0.375,0.706044375178
0.376,0.701299174727
0.377,0.696488622886
0.378,0.691613265799
0.379,0.686673655527
0.38,0.681670349992
0.381,0.676603912917
0.382,0.671474913754
0.383,0.666283927626
0.384,0.661031535256
0.385,0.65571832292
0.386,0.650344882597
0.387,0.644911811615
